iter	RMSE
128	2.135021766
129	2.115868001
130	2.103409679
131	2.09292859
132	2.083713625
133	2.074669185
134	2.065121933
135	2.053805403
136	2.039200569
137	2.027671724
138	2.01925327
139	2.005566448
140	1.997047065
141	1.980542034
142	1.97413519
143	1.961070696
144	1.949841646
145	1.940840037
146	1.929610053
147	1.921592888
148	1.913805824
149	1.906095365
150	1.894398119
151	1.88692534
152	1.878310347
153	1.871059144
154	1.858557337
155	1.849908818
156	1.837717051
157	1.826833586
158	1.818585802
159	1.811016302
160	1.804703182
161	1.796089126
162	1.785346576
163	1.772923543
164	1.766852499
165	1.75451834
166	1.749230726
167	1.736332073
168	1.729581106
169	1.722402768
170	1.716043054
171	1.711056865
172	1.704498945
173	1.698158898
174	1.692873277
175	1.686186576
176	1.675954145
177	1.670427246
178	1.660478039
179	1.655380126
180	1.649579472
181	1.645983203
182	1.633568407
183	1.628318898
184	1.623005142
185	1.611720399
186	1.607125615
187	1.601736972
188	1.590631612
189	1.584061787
190	1.578454221
191	1.573085799
192	1.560782005
193	1.549214735
194	1.544318996
195	1.533831558
196	1.529024384
197	1.514973672
198	1.502190815
199	1.497305557
200	1.492825865
201	1.487090163
202	1.482257635
203	1.477509759
204	1.464013024
205	1.453533331
206	1.448433481
207	1.436731541
208	1.430607509
209	1.426157784
210	1.42219829
211	1.416307215
212	1.411544611
213	1.40620605
214	1.401863439
215	1.397415566
216	1.393178815
217	1.385827755
218	1.382301708
219	1.378276671
220	1.367293561
221	1.363562526
222	1.359537904
223	1.352007833
224	1.344112446
225	1.333100584
226	1.329138814
227	1.325730766
228	1.315479346
229	1.31169781
230	1.308255651
231	1.301623062
232	1.298693088
233	1.295373621
234	1.285357217
235	1.275939036
236	1.273136266
237	1.269634251
238	1.26288283
239	1.259723139
240	1.257062898
241	1.254178514
242	1.251510854
243	1.244739738
244	1.237309098
245	1.234552544
246	1.230309198
247	1.227463072
248	1.225029705
249	1.222578775
250	1.214930322
251	1.206951416
252	1.201655574
253	1.199164466
254	1.195584607
255	1.188425271
256	1.186003199
257	1.181091323
258	1.178878942
259	1.176727547
260	1.174331825
261	1.172179243
262	1.167457196
263	1.160796886
264	1.158571646
265	1.156577192
266	1.154593257
267	1.147732014
268	1.141860092
269	1.140023894
270	1.13387456
271	1.132081179
272	1.12977254
273	1.127861367
274	1.126150472
275	1.116914415
276	1.111604996
277	1.109849735
278	1.108219599
279	1.100956122
280	1.099298075
281	1.096747193
282	1.089455178
283	1.086983906
284	1.085204914
285	1.079490172
286	1.077692477
287	1.075744318
288	1.070177805
289	1.064297367
290	1.062836489
291	1.060933717
292	1.056063137
293	1.054620677
294	1.053204511
295	1.051711451
296	1.050334698
297	1.045152792
298	1.041356716
299	1.040066618
300	1.036381496
301	1.034749386
302	1.030649854
303	1.029346492
304	1.028149452
305	1.026910428
306	1.025428664
307	1.023535547
308	1.022379802
309	1.016359738
310	1.010917189
311	1.006325336
312	1.00519679
313	0.9987172059
314	0.9976626102
315	0.9924482393
316	0.9913412829
317	0.9867405332
318	0.9817678443
319	0.9807356515
320	0.9763640962
321	0.9745393095
322	0.9699882396
323	0.9688220767
324	0.964059957
325	0.9607204959
326	0.959716134
327	0.9558196316
328	0.9517291404
329	0.9506852253
330	0.9496614181
331	0.9455660101
332	0.9418629292
333	0.9408715235
334	0.9398923753
335	0.9389355856
336	0.9380169979
337	0.9346230712
338	0.9313204043
339	0.9304065802
340	0.9266530265
341	0.9224827547
342	0.9216042223
343	0.9177270019
344	0.9168672311
345	0.9130528339
346	0.9122144615
347	0.9113922794
348	0.9106803882
349	0.9078767783
350	0.9070927184
351	0.9034787597
352	0.902711658
353	0.9001962774
354	0.8994472084
355	0.898696107
356	0.8948212651
357	0.8911481353
358	0.8904306779
359	0.887013588
360	0.8862423927
361	0.8821147021
362	0.8791299936
363	0.8761732144
364	0.8754970399
365	0.8725586533
366	0.8686833519
367	0.867029246
368	0.8663854031
369	0.8656842805
370	0.8650312828
371	0.8644147436
372	0.8637323781
373	0.8595861123
374	0.8582202044
375	0.8546384603
376	0.8540514862
377	0.853444876
378	0.8528750616
379	0.850315478
380	0.8466181067
381	0.8460650799
382	0.8438002896
383	0.8412029064
384	0.8403275966
385	0.8362218984
386	0.8334879429
387	0.8308258092
388	0.8282334339
389	0.8257163228
390	0.8235406627
391	0.8226893507
392	0.8217564882
393	0.8193390145
394	0.8161340885
395	0.8155302217
396	0.8123865404
397	0.809506692
398	0.8081091374
399	0.8060724975
400	0.8055245115
401	0.8024804935
402	0.8017054677
403	0.8005579257
404	0.7992381257
405	0.7983401966
406	0.7966103401
407	0.7957108611
408	0.7948651716
409	0.7944930868
410	0.7915401715
411	0.7888368121
412	0.7853171121
413	0.7824186016
414	0.7792981376
415	0.7766843783
416	0.7744300736
417	0.7727854534
418	0.7695443241
419	0.7683288654
420	0.7668348523
421	0.7634129036
422	0.7618059872
423	0.7604003429
424	0.7580866297
425	0.7547407742
426	0.752824002
427	0.7510194166
428	0.7489050451
429	0.7480857023
430	0.7475809477
431	0.7448407595
432	0.744225259
433	0.7436270889
434	0.7415499738
435	0.7394683715
436	0.7365188741
437	0.7346493285
438	0.7330437913
439	0.7324900277
440	0.7318316434
441	0.7288486385
442	0.7282197955
443	0.7251201946
444	0.7244068755
445	0.7209261316
446	0.7180265972
447	0.7150503163
448	0.713282353
449	0.711508879
450	0.7109364497
451	0.7103372861
452	0.7087893152
453	0.7070548788
454	0.7060770032
455	0.7030474271
456	0.7004709602
457	0.6975732322
458	0.697094108
459	0.6954879487
460	0.6926797732
461	0.6920608702
462	0.6915003203
463	0.691224573
464	0.6896326775
465	0.6870164569
466	0.6867045967
467	0.6840349132
468	0.6825412334
469	0.6787446402
470	0.676331616
471	0.6745830672
472	0.6719546852
473	0.6695537016
474	0.6692911682
475	0.6681659445
476	0.66762948
477	0.6669002503
478	0.6642893288
479	0.6621316979
480	0.6615977147
481	0.6592904515
482	0.6587962788
483	0.6560596524
484	0.6557057771
485	0.6534529223
486	0.6509987244
487	0.648902558
488	0.6486716264
489	0.6460464202
490	0.6456882986
491	0.6440558579
492	0.642555034
493	0.6410454526
494	0.6384974516
495	0.6358232636
496	0.6329763839
497	0.6324979191
498	0.6299114292
499	0.6295832694
500	0.6292759077
501	0.6268286031
502	0.6246570467
503	0.6221522357
504	0.6203574352
505	0.6201736784
506	0.6177613834
507	0.6153985114
508	0.6141302093
509	0.6109331041
510	0.6094313477
511	0.6073314227
512	0.605006669
513	0.6019679061
514	0.5998812306
515	0.5970489669
516	0.5967609255
517	0.5942506895
518	0.5910011216
519	0.5904951538
520	0.5884227518
521	0.5867764656
522	0.5853690493
523	0.5831320017
524	0.5816468459
525	0.5794119731
526	0.577298576
527	0.5750814497
528	0.5735801267
529	0.5733468221
530	0.5710477247
531	0.5683982612
532	0.5666274188
533	0.5646329005
534	0.5632199869
535	0.561705223
536	0.5594091359
537	0.5592461731
538	0.5573410525
539	0.5562614513
540	0.5546211186
541	0.5519410382
542	0.5498767616
543	0.5478362803
544	0.5473007495
545	0.5451240021
546	0.5449792222
547	0.5433475026
548	0.5431850457
549	0.5413222198
550	0.5392114515
551	0.5374709644
552	0.5361537359
553	0.5350390545
554	0.5326011174
555	0.5305205643
556	0.5293110167
557	0.5291187387
558	0.5267700075
559	0.5248485255
560	0.5240150903
561	0.5221242025
562	0.5207264698
563	0.5205495235
564	0.5204143166
565	0.5199995611
566	0.5179348187
567	0.5162494356
568	0.5145566813
569	0.5128203366
570	0.5118107276
571	0.5116900184
572	0.5096741206
573	0.5085547636
574	0.5083943771
575	0.5066034947
576	0.5049049392
577	0.5037151535
578	0.5018876745
579	0.5001853435
580	0.4981930124
581	0.4959056348
582	0.4946046956
583	0.4941979774
584	0.4931729342
585	0.491334832
586	0.4897621464
587	0.4889390873
588	0.4877062627
589	0.4871532856
590	0.486213886
591	0.4842471825
592	0.4829135479
593	0.4814247408
594	0.4802105623
595	0.4794750326
596	0.477602868
597	0.4757917418
598	0.4743402964
599	0.4726472313
600	0.4717315273
601	0.4702513699
602	0.4694897896
603	0.4681467883
604	0.4663740966
605	0.4653993461
606	0.4632559008
607	0.4614246404
608	0.4596773747
609	0.4574011839
610	0.4553985431
611	0.4546203189
612	0.4541707806
613	0.4529733278
614	0.4509600166
615	0.4493225766
616	0.4481254045
617	0.446917692
618	0.4463120276
619	0.4447429009
620	0.4434929345
621	0.441990759
622	0.440372869
623	0.4390239568
624	0.4371155268
625	0.4357349324
626	0.4350509356
627	0.4337418766
628	0.4331088103
629	0.4316835059
630	0.4303315519
631	0.4296075781
632	0.4288124136
633	0.4272142814
634	0.4263968194
635	0.4262670899
636	0.4254979028
637	0.4243517067
638	0.4228000804
639	0.4210766587
640	0.4188625985
641	0.4164489739
642	0.4154562317
643	0.4143355906
644	0.414208636
645	0.4129098738
646	0.4124239672
647	0.4111936462
648	0.411077254
649	0.4109519079
650	0.409302474
651	0.4078414118
652	0.4063628703
653	0.4051154975
654	0.4050003185
655	0.4040266203
656	0.4027118656
657	0.4012958011
658	0.3999504907
659	0.399232329
660	0.3984950049
661	0.3981685105
662	0.3980681459
663	0.3979602734
664	0.3966131602
665	0.3951779699
666	0.3944254166
667	0.3927011129
668	0.3913176457
669	0.3903654318
670	0.3901415712
671	0.3891788469
672	0.3880447488
673	0.386932262
674	0.3865534424
675	0.3855154781
676	0.3843700526
677	0.3836633198
678	0.3829902297
679	0.3816030949
680	0.380278769
681	0.3801643576
682	0.3791796666
683	0.3784565275
684	0.3770039604
685	0.3760723825
686	0.3748259999
687	0.3740960567
688	0.3734450245
689	0.3722566822
690	0.3717067523
691	0.3711072688
692	0.3709723321
693	0.3699671996
694	0.3690392749
695	0.3678416866
696	0.367740228
697	0.3665051663
698	0.3649597877
699	0.3640379977
700	0.3631814674
701	0.3610695974
702	0.3609872623
703	0.3602938096
704	0.3595930592
705	0.3584987248
706	0.3577247615
707	0.3572795747
708	0.3567457758
709	0.3560650116
710	0.3551243664
711	0.3542046144
712	0.3534326341
713	0.3526785916
714	0.3520077378
715	0.3512334605
716	0.3505213323
717	0.3494773184
718	0.3491258174
719	0.347235919
720	0.3460420425
721	0.3449387401
722	0.344842359
723	0.3436065162
724	0.3430013659
725	0.3418600483
726	0.3416120513
727	0.3404592236
728	0.3401061202
729	0.3393339642
730	0.3389418502
731	0.3379409143
732	0.3369484859
733	0.3361080031
734	0.3360220365
735	0.335340118
736	0.3345050287
737	0.334434345
738	0.3330512206
739	0.3328512752
740	0.3322123554
741	0.3311077485
742	0.330015878
743	0.3292474586
744	0.328465604
745	0.327320432
746	0.3262029277
747	0.3256878577
748	0.3246094745
749	0.3242050753
750	0.3231594459
751	0.3219489386
752	0.3208760807
753	0.3197730675
754	0.3197091519
755	0.3196373377
756	0.3191857775
757	0.3181621538
758	0.3174140383
759	0.3173532383
760	0.3166187603
761	0.31560906
762	0.3149653735
763	0.314900981
764	0.3139859419
765	0.3129797516
766	0.3119985717
767	0.3109526145
768	0.3097544557
769	0.3085665775
770	0.3078180066
771	0.30774823
772	0.3071124507
773	0.305872878
774	0.3048617903
775	0.3043276846
776	0.3036615841
777	0.3033802012
778	0.302634537
779	0.3019781461
780	0.3019227236
781	0.3012906034
782	0.3005799019
783	0.2995530661
784	0.2989942051
785	0.298321601
786	0.2970816397
787	0.2957286913
788	0.295184906
789	0.2943079572
790	0.2942556741
791	0.2938682334
792	0.2931618807
793	0.2921960251
794	0.2916573053
795	0.2912078734
796	0.2908818882
797	0.2905640118
798	0.2898357364
799	0.2892859312
800	0.2882074905
801	0.2875178861
802	0.2868649242
803	0.2862633935
804	0.2855945331
805	0.2850523368
806	0.2849953473
807	0.2843321622
808	0.283899908
809	0.2826725547
810	0.2817722927
811	0.2810075273
812	0.2809577749
813	0.2803427074
814	0.2793340717
815	0.2792833004
816	0.2790366802
817	0.2785335742
818	0.2776441087
819	0.2770407693
820	0.2765876677
821	0.2757843517
822	0.2749971196
823	0.2741713446
824	0.273368143
825	0.2729319858
826	0.2728710876
827	0.2718604974
828	0.2710222898
829	0.2704002572
830	0.2703398409
831	0.2695586006
832	0.2685796373
833	0.2680547293
834	0.2674573704
835	0.2669094118
836	0.2664518502
837	0.2658886098
838	0.265071035
839	0.2644597807
840	0.2636672657
841	0.2629990251
842	0.2620872768
843	0.261962394
844	0.2610817022
845	0.2604883857
846	0.2602784124
847	0.2602309503
848	0.2597512121
849	0.2594294446
850	0.2593848163
851	0.259335453
852	0.2585971802
853	0.2577084138
854	0.2575269563
855	0.257130485
856	0.2569226288
857	0.2560765073
858	0.2555862769
859	0.2548501743
860	0.2539161389
861	0.2531593091
862	0.2527601577
863	0.2521712319
864	0.2515104624
865	0.2509908195
866	0.2501127025
867	0.2496475362
868	0.2491482044
869	0.2484891969
870	0.2481229653
871	0.2476232234
872	0.2468234125
873	0.2460027209
874	0.2452426552
875	0.24466146
876	0.2439190898
877	0.2438600078
878	0.2434755903
879	0.2427527904
880	0.2421077349
881	0.2413070918
882	0.2407996956
883	0.2402822518
884	0.23966393
885	0.2392979663
886	0.2385969315
887	0.2378230796
888	0.2375110387
889	0.2369412335
890	0.2363901809
891	0.2359134785
892	0.2357273546
893	0.2354806324
894	0.2348867513
895	0.2341455959
896	0.2336983016
897	0.2333437873
898	0.2326809465
899	0.2320569998
900	0.2318945526
901	0.2313697558
902	0.230772826
903	0.2302003248
904	0.2296534167
905	0.2292714668
906	0.2284935555
907	0.2281561987
908	0.2278909297
909	0.2270375647
910	0.2269927833
911	0.226946612
912	0.2260838132
913	0.2255345582
914	0.2250252712
915	0.2248379205
916	0.2242860282
917	0.2238423213
918	0.2232308253
919	0.2226173642
920	0.221941677
921	0.2216607501
922	0.2210105183
923	0.2206304219
924	0.2205923832
925	0.2203470932
926	0.2198108616
927	0.2193410782
928	0.2187577349
929	0.2187123228
930	0.2179413671
931	0.2171360825
932	0.2169140329
933	0.2168139614
934	0.2165378598
935	0.2161579285
936	0.215567745
937	0.2151141612
938	0.2144229129
939	0.2137819079
940	0.2130494672
941	0.2125878859
942	0.2123436279
943	0.2119165558
944	0.2111965764
945	0.2109320897
946	0.2104105822
947	0.209718412
948	0.2096244782
949	0.2089800459
950	0.2084326756
951	0.2080950313
952	0.2077625176
953	0.2077195595
954	0.2076772549
955	0.2074579563
956	0.2068812813
957	0.2062359107
958	0.2061952009
959	0.2058921474
960	0.2053723363
961	0.2052441392
962	0.2047579336
963	0.2045791729
964	0.2041349191
965	0.2037935819
966	0.2034749308
967	0.2026970525
968	0.2019480394
969	0.2017084018
970	0.2011187415
971	0.2007443516
972	0.2001406978
973	0.1997443096
974	0.1995369756
975	0.1990081149
976	0.1984417874
977	0.1983163794
978	0.1977395058
979	0.1973159302
980	0.1969564686
981	0.1966968675
982	0.19614694
983	0.1955131782
984	0.1954780035
985	0.1951506509
986	0.1946193789
987	0.1942121018
988	0.1934787713
989	0.193188195
990	0.1927650958
991	0.192370845
992	0.192152715
993	0.1919002698
994	0.1915015921
995	0.1911100085
996	0.1907751411
997	0.1907345132
998	0.1906782275
999	0.1900850159
